CID,AID,CitedAs,Locatable,PT,AU,BA,BE,GP,AF,BF,TI,SO,SE,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
C011,A010,URL;Title,Yes,J,"Nguemte, PM; Wafo, GVD; Djocgoue, PF; Noumsi, IMK; Ngnien, AW",NA,NA,NA,"Nguemte, P. Matsodoum; Wafo, G. V. Djumyom; Djocgoue, P. F.; Noumsi, I. M. Kengne; Ngnien, A. Wanko",NA,Potentialities of Six Plant Species on Phytoremediation Attempts of Fuel Oil-Contaminated Soils,WATER AIR AND SOIL POLLUTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0049-6979,1573-2932,NA,NA,NA,MAR,2018,229,3,NA,NA,NA,NA,NA,88,10.1007/s11270-018-3738-9,NA,NA,NA,NA,NA,NA,NA,WOS:000428305400036,NA,NA,NA,NA,NA
C012,A011,Title,Yes,B,"Shochat, G; Maoz, S; Stark-Inbar, A; Blumenfeld, B; Rand, D; Preminger, S; Sacher, Y",NA,NA,IEEE,"Shochat, Gili; Maoz, Sivan; Stark-Inbar, Alit; Blumenfeld, Barak; Rand, Debbie; Preminger, Son; Sacher, Yaron",NA,Motion-based virtual reality cognitive training targeting executive functions in acquired brain injury community-dwelling individuals: a feasibility and initial efficacy pilot,2017 INTERNATIONAL CONFERENCE ON VIRTUAL REHABILITATION (ICVR),NA,NA,NA,International Conference on Virtual Rehabilitation (ICVR),"JUN 19-22, 2017","Montreal, CANADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-3053-8,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000411111900075,NA,NA,NA,NA,NA
C013,A012,Title,Yes,J,"Gao, HW",NA,NA,NA,"Gao, Hongwei",NA,A first principles investigation of the NO oxidation mechanism on Pt/gamma-Al2O3,RSC ADVANCES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2046-2069,NA,NA,NA,NA,NA,2016,6,105,NA,NA,NA,102914,102923,NA,10.1039/c6ra20559c,NA,NA,NA,NA,NA,NA,NA,WOS:000387726500009,NA,NA,NA,NA,NA
C014,A013,Title,Yes,S,"Satish, L; Yusof, N",NA,"Budiharto, W; Wulandhari, LA; Gunawan, AAS; Chowanda, A; Ham, H; Meiliana; Suryani, D; Hanafiah, N",NA,"Satish, Laika; Yusof, Norazah",NA,A Review: Big Data Analytics for enhanced Customer Experiences with Crowd Sourcing,DISCOVERY AND INNOVATION OF COMPUTER SCIENCE TECHNOLOGY IN ARTIFICIAL INTELLIGENCE ERA,Procedia Computer Science,NA,NA,2nd International Conference on Computer Science and Computational Intelligence (ICCSCI),"OCT 13-14, 2017","Bali, INDONESIA",NA,NA,NA,NA,"The objective of this paper is to analyze and study the ways of considering customer experience big data analytics and incorporate crowd sourcing in the process to increase customer satisfaction and loyalty, revenue and greater employee satisfaction where commerce is immediate and secure. In an era where customer experience play a very important role to improve the necessary target profits and where customers are interacting with many brands across many channels,big data through crowd sourcing gives us a way to focus on the outcomes to increase collaboration coming from expert crowdsource workers, data providers and big data analytics. It is one of the biggest trends that is going to dominate the year 2017-2018 where big data is an exploding area of focus and where business intelligence can be transformed into crowdsourced business intelligence. Since it is nowadays a smart digital world where applications has to support essential workflows,the emerging research areas in big data and crowdsourcing can explore the means to provide big benefits and great potential from a customer service prospective. Findings give us a better understanding how companies are able to understand and monetize their customers better. (C) 2017 The Authors. Published by Elsevier B.V.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877-0509,NA,NA,NA,NA,NA,2017,116,NA,NA,NA,NA,274,283,NA,10.1016/j.procs.2017.10.058,NA,NA,NA,NA,NA,NA,NA,WOS:000424023700036,NA,NA,NA,NA,NA
C015,A014,URL;Title,Yes,J,"Mezzasalma, V; Sandionigi, A; Bruni, I; Bruno, A; Lovicu, G; Casiraghi, M; Labra, M",NA,NA,NA,"Mezzasalma, Valerio; Sandionigi, Anna; Bruni, Ilaria; Bruno, Antonia; Lovicu, Gianni; Casiraghi, Maurizio; Labra, Massimo",NA,Grape microbiome as a reliable and persistent signature of field origin and environmental conditions in Cannonau wine production,PLOS ONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grape berries harbor a wide range of microbes originating from the vineyard environment, many of which are recognized for their role in the must fermentation process shaping wine quality. To better clarify the contribution of the microbiome of grape fruits during wine fermentation, we used high-throughput sequencing to identify bacterial and fungi communities associated with berries and musts of Cannonau. This is the most important cultivar-wine of Sardinia (Italy) where most vineyards are cultivated without phytochemical treatments. Results suggested that microbiomes of berries collected at four different localities share a core composition characterized by Enterobacteriales, Pseudomonadales, Bacillales, and Rhodospirillales. However, any area seems to enrich berries microbiome with peculiar microbial traits. For example, berries belonging to the biodynamic vineyards of Mamoiada were rich in Bacillales typical of manure (i.e. Lysinibacillus, Bacillus, and Sporosarcina), whereas in the Santadi locality, berries showed soil bacteria such as Pasteurellales and Bacteroidales as well as Rhodospirillales and Lactobacillales which are commonly involved in wine fermentation. In the case of fungi, the most abundant taxa were Dothioraceae, Pleosporaceae, and Saccharomycodaceae, and although the proportion of these families varied among localities, they occurred ubiquitously in all vineyards. During vinification processes performed at the same wine cellar under controlled conditions and without using any yeast starter, more than 50% of bacteria groups of berries reached musts, and each locality had its own private bacteria signature, even if Saccharomyces cerevisiae represented the most abundant fungal species. This work suggests that natural berries microbiome could be influenced by pedoclimatic and anthropologic conditions (e.g., farming management), and the fruits' microorganisms persist during the fermentation process. For these reasons, a reliable wine genotyping should include the entire holobiont (plant and all its symbionts), and bioprospecting activities on grape microbiota could lead to improved viticulture yields and wine quality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932-6203,NA,NA,NA,NA,11-Sep,2017,12,9,NA,NA,NA,NA,NA,e0184615,10.1371/journal.pone.0184615,NA,NA,NA,NA,NA,NA,NA,WOS:000410243200019,28892512,NA,NA,NA,NA
C016,A015,URL;Title,Yes,J,"Lancaster, D; Dearden, P; Haggarty, DR; Volpe, JP; Ban, NC",NA,NA,NA,"Lancaster, Darienne; Dearden, Philip; Haggarty, Dana R.; Volpe, John P.; Ban, Natalie C.",NA,Effectiveness of shore-based remote camera monitoring for quantifying recreational fisher compliance in marine conservation areas,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Marine conservation areas require high levels of compliance to meet conservation objectives, yet little research has assessed compliance quantitatively, especially for recreational fishers. Recreational fishers take 12% of global annual fish catches. With millions of people fishing from small boats, this fishing sector is hard to monitor, making accurate quantification of non-compliance an urgent research priority. 2. Shore-based remote camera monitoring was tested for quantifying recreational non-compliance in near-shore, coastal rockfish conservation areas (RCAs) in the Salish Sea, Canada. 3. Six high definition trail cameras were used to monitor 42 locations between July and August 2014. 4. Seventy-nine percent of monitored conservation area sites showed confirmed or probable fishing activity, with no significant difference in fishing effort inside and outside RCAs. 5. Mixed effects generalized linear models were used to test environmental and geographic factors influencing compliance. Sites with greater depth had significantly higher fishing effort, which may imply high, barotrauma-induced, rockfish mortality in RCA sites. 6. Non-compliance estimates were similar to aerial fly-over compliance data from 2011, suggesting that trail camera monitoring may be an accurate and affordable alternative method of assessing non-compliance in coastal conservation areas, especially for community-based organizations wishing to monitor local waters. 7. widespread non-compliance could compromise the ability of RCAs to protect and rebuild rockfish populations. Increased education, signage, and enforcement is likely to improve compliance.",NA,NA,NA,"Shen, ChengHan/D-1972-2018","Ban, Natalie/0000-0002-4682-2144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052-7613,1099-0755,NA,NA,NA,AUG,2017,27,4,NA,NA,NA,804,813,NA,10.1002/aqc.2736,NA,NA,NA,NA,NA,NA,NA,WOS:000408335200009,NA,NA,NA,NA,NA
C017,A016,Title,No,S,"Sharabi, Y; Sheinfux, HH; Eisenstein, G; Segev, M",NA,NA,IEEE,"Sharabi, Yonatan; Sheinfux, Hanan Herzig; Eisenstein, Gadi; Segev, Mordechai",NA,Periodic Behavior in Aperiodic Multilayers,2017 CONFERENCE ON LASERS AND ELECTRO-OPTICS (CLEO),Conference on Lasers and Electro-Optics,NA,NA,Conference on Lasers and Electro-Optics (CLEO),"MAY 14-19, 2017","San Jose, CA",IEEE,NA,NA,NA,"We present a family of one-dimensional quasiperiodic crystal which simultaneously display both the fractal bandstructure typical to quasiperiodic structures and properties normally exclusive to periodic structures, including Bloch-like modes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160-9020,NA,978-1-9435-8027-9,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000427296200429,NA,NA,NA,NA,NA
C018,A017,Title,Yes,J,"Giampietri, E; Koemle, DBA; Yu, XH; Finco, A",NA,NA,NA,"Giampietri, Elisa; Koemle, Dieter B. A.; Yu, Xiaohua; Finco, Adele",NA,Consumers' Sense of Farmers' Markets: Tasting Sustainability or Just Purchasing Food?,SUSTAINABILITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sustainable food consumption has attracted widespread attention over the last decades by scholars, policy makers and consumers. In line with this, farmers' markets (FMs) have the potential to encourage sustainable agricultural production and consumption. By reducing the number of actors and distances along the food chain, these alternative food systems foster the reconnection between farmers and consumers and contribute to different social, economic and environmentally sustainable goals. This paper provides insights into how consumers' sustainability concerns are related to their motivation for shopping at FMs. By means of a choice experiment, we analyze the determinants of consumers' preferences for buying apples at FMs. We are particularly interested in understanding how attitudes towards the three sustainability dimensions are related to consumer preferences in this context. We find that consumer attitudes towards direct contact with producers, contributing to farmers' income, and environmental benefits, can be directly related to product characteristics that are specific to FMs.",NA,NA,NA,NA,"Finco, Adele/0000-0002-9859-901X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2071-1050,NA,NA,NA,NA,NOV,2016,8,11,NA,NA,NA,NA,NA,1157,10.3390/su8111157,NA,NA,NA,NA,NA,NA,NA,WOS:000389316200077,NA,NA,NA,NA,NA
C019,A018,Title,Yes,J,"Hafner, BD; Konig, A; Auerswald, K",NA,NA,NA,"Hafner, Benjamin D.; Koenig, Andreas; Auerswald, Karl",NA,Hoof Growth Rates of the European Roe Deer (Capreolus capreolus) for Dating the Hoof's Isotopic Archive,FORESTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hooves preserve the isotopic information laid down during their growth and may be used for reconstruction of animal feeding history. To assign certain positions along hooves to corresponding times, growth rates are required. Hoof growth rates are known for domestic animals; however, they cannot be obtained easily in wild animals. We estimated the hoof growth rate of the European roe deer (Capreolus capreolus L.) by using the immediate drop in delta C-13 along the hoof as a tag that is assigned to the date of maize (Zea mays L.) harvest. Keratin samples were taken each mm along 17 hooves and analyzed for their delta C-13. A linear regression between (1) time differences of expected maize harvest to animal death and (2) distances between the points of the delta C-13 drop to the periople yielded the growth rate. Mean hoof growth rate was 0.122 mm/day (95% CI 0.014 mm/day) and 0.365%/day (+/- 0.026%/day) of the hoof length and within the range of domestic animals. The method may be applied to determine growth rates of other incrementally growing tissues. Our estimated growth rate fosters dating isotopic information in hooves, facilitating research on feed resources and space use of roe deer.",NA,NA,NA,NA,"Hafner, Benjamin D/0000-0003-2348-9200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-4907,NA,NA,NA,NA,DEC,2017,8,12,NA,NA,NA,NA,NA,462,10.3390/f8120462,NA,NA,NA,NA,NA,NA,NA,WOS:000419210800003,NA,NA,NA,NA,NA
C020,A019,Title,Yes,S,"Sinha, D; Haribabu, K; Balasubramaniam, S",NA,NA,IEEE,"Sinha, Debanshu; Haribabu, K.; Balasubramaniam, Sundar",NA,Real-Time Monitoring of Network Latency in Software Defined Networks,2015 IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNCATIONS SYSTEMS (ANTS),IEEE International Conference on Advanced Networks and Telecommunication Systems,NA,NA,9th IEEE International Conference on Advanced Networks and Telecommuncations Systems (ANTS),"DEC 15-18, 2015","Kolkata, INDIA","IEEE, IEEE Commun Soc, Alphion, Tata Consultancy Serv, Wipro, Cisco, Dell, Infinera, Springer, DRDO, Intel",NA,NA,NA,"Latency in a network is an important parameter that can be utilized by Service providers and end users alike. Delay on a network path is often measured using end-to-end probing packets. When multiple end systems measure end-to-end latency, there are overlaps in their paths. Since end systems do not have this knowledge, it results in redundant work and network overhead. In this paper, we propose a method to measure end-to-end path latency in Software Defined Networks (SDN). This method avoids redundant work and measures latency in real-time. Our proposal is an improvement over the looping technique. We simplified the looping technique by using IP TTL as a counter. In order to avoid duplicate work, latency is measured per link and stored in the controller. End systems may register their flow labels with the SDN controller to receive latency information. For each registered flow, controller composes individual link latencies on that path to compute end-to-end latency. We also propose another approach to measure latency using queue lengths at network switches. This technique removes network overhead. In our simulations, improved looping technique is found to be giving better results with reduced computational and network overhead, while the proposed queue length technique shows comparable results.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329-7077,NA,978-1-5090-0293-1,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000375678600062,NA,NA,NA,NA,NA
C021,A020,Title,Yes,B,"Backfrieder, C; Lindorfer, M; Mecklenbrauker, CF; Ostermayer, G",NA,NA,IEEE,"Backfrieder, Christian; Lindorfer, Manuel; Mecklenbraeuker, Christoph F.; Ostermayer, Gerald",NA,Impact of Varying Penetration Rate of Intelligent Routing Capabilities on Vehicular Traffic Flow,2017 IEEE 86TH VEHICULAR TECHNOLOGY CONFERENCE (VTC-FALL),IEEE Vehicular Technology Conference VTC,NA,NA,86th IEEE Vehicular Technology Conference (VTC-Fall),"SEP 24-27, 2017","Toronto, CANADA","IEEE, Huawei, Telus",NA,NA,NA,"Beyond question, the improvement of traffic flow is a hot topic in current research, and numerous proposals how to optimize traffic on the roads exist. Distributed communication systems have come up recently as a very important mechanism in modern road networks in order to deal with this issue. Also, traffic delay problems due to jams are manifesting in many of the urban centers worldwide. With the objective of decreasing and in the best case avoiding congestion, V2X communication is exploited in order to counteract traffic jams by intelligent rerouting. Notwithstanding, the transition from very low penetration rates of vehicles that are equipped with communication functionality to a situation where basically all vehicles have the capability to send and receive information will not be made overnight. To a greater degree, the penetration of connected vehicles will increase more and more, which further will result in a very long period of mixed composition. This paper focuses on the analysis of a variable ratio of vehicles with routing and communication capabilities to those who are not. It analyzes the performance of a predictive rerouting algorithm when a distinct percentage of vehicles is unable to communicate for distinct traffic densities, and proves by simulations that even penetration rates far from a hundred percent lead to an improvement of the average time and fuel consumption as well as CO2 emissions per vehicle.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-5090-5935-5,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000428141602067,NA,NA,NA,NA,NA
C022,A020,Title,Yes,S,"Blazek, T; Mecklenbrauker, CF; Backfrieder, C; Ostermayer, G",NA,NA,IEEE,"Blazek, Thomas; Mecklenbraeuker, Christoph F.; Backfrieder, Christian; Ostermayer, Gerald",NA,Improving Communication Reliability in Intelligent Transport Systems Through Cooperative Driving,2017 10TH IFIP WIRELESS AND MOBILE NETWORKING CONFERENCE (WMNC 2017),Joint IFIP Wireless and Mobile Networking Conference,NA,NA,10th IFIP Wireless and Mobile Networking Conference (WMNC),"SEP 25-27, 2017","Valencia, SPAIN","IFIP, Univ Politecnica Valencia, Telecom Escuela Tecnica VLC Super UPV Ingenieros Telecomunicacion, Inst Investigac Gest Integrada Zonas Costeras, IEEE Secc Espana",NA,NA,NA,"Safety messaging among Intelligent Transport Systems relies on guaranteed timely delivery. The reliability of such a system is strongly dependent on the channel load, the channel quality and the number of hops necessary to convey information between nodes. While a lot of research has been conducted on the subject, the vehicular density is usually given, and thus, channel overloading remains a threat. In this paper, we approach the topic from the opposite direction, by allowing the vehicle traffic to be routed such that individual traveling times are minimized using the PCMA* algorithm, and analyzing the impact on the safety message dissemination. We formulate a reliability definition by introducing key parameters for analysis via the probability of timely channel access, the hidden node potential and the mean hop count. We then use simulations of real life urban scenarios that we model as communication graphs, and compare the performance of medium access with and without cooperative driving. Our results show that optimizing driving routes cooperatively with respect to driving time and fuel consumption achieves geographic distributions of the communication nodes that ensures degrees of reliability not possible in egoistic driving scenarios.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2163-4033,NA,978-1-5386-1742-7,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000427351600010,NA,NA,NA,NA,NA
C023,A021,URL;Title,Yes,J,"Ben-David, T; Waring, MS",NA,NA,NA,"Ben-David, Tom; Waring, Michael S.",NA,Interplay of ventilation and filtration: Differential analysis of cost function combining energy use and indoor exposure to PM2.5 and ozone,BUILDING AND ENVIRONMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This study investigated the effects of ventilation and filtration on building energy consumption and exposure to PM2.5 and ozone in U.S. offices, Energy use and indoor PM2.5 and ozone concentrations were predicted in 15 locations for a typical office with either a constant air volume (CAV) or variable air volume (VAV) mechanical system. For each office and location, annual simulations were performed with combinations of fixed ventilation ranging 20-100 CFM/occ (9.4-47 L/s/occ) and filters ranging in efficiency corresponding to MERV 8-16 and HEPA. Energy use was monetized using historic costs, and PM2.5 and ozone exposures were monetized using incidence valuations and concentration-response functions. These outcomes were combined into a singular cost function, which was characterized empirically as a fiinction of ventilation and filtration. Various partial derivatives of the cost function were calculated to observe trends and interdependencies. Exposure cost was 5.5 times higher than energy cost for cases with common filters (MERV 8-11). Even with high filter efficiency, exposure cost was greater than energy cost on average. Filtration had a much stronger effect than ventilation on indoor contaminant levels and the total cost function. The differential analysis revealed that ventilation and filtration complement each other: Implementing a high efficiency filter can mitigate negative effects of ventilation, and higher ventilation rates can increase the efficacy of filtration (e.g. increasing ventilation from 20 to 60 CFM/occ increased filtration efficacy by 1.2-1.5 for VAV offices).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0360-1323,1873-684X,NA,NA,NA,15-Jan,2018,128,NA,NA,NA,NA,320,335,NA,10.1016/j.buildenv.2017.10.025,NA,NA,NA,NA,NA,NA,NA,WOS:000423004900028,NA,NA,NA,NA,NA
C024,A022,Title,Yes,J,"Heydt, GT",NA,NA,NA,"Heydt, G. T.",NA,Thevenin's Theorem Applied to the Analysis of Polyphase Transmission Circuits,IEEE TRANSACTIONS ON POWER DELIVERY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The well-known and widely applied Thevenin theorem is applied to the operational analysis of ac transmission circuits. The approach is to model the transmission circuit N as an n-port. The calculation of the Thevenin equivalent impedance is found by applying an n-vector of currents to N and observing the behavior of the terminal voltages of N. The Thevenin equivalent voltage is an n-vector and this is simply the open-circuit voltage of N. The equivalent circuit is applied to conveniently study the transmission circuit performance for a range of different operating conditions. The treatment of controlled sources in the model is described. The application of Thevenin's theorem to a class of multiport circuits has been described before, and the application to three-phase circuits has been suggested; however, the contribution in this paper is the treatment of transformers and modeling mutual coupling between phases in transmission components, and the application to general polyphase circuits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0885-8977,1937-4208,NA,NA,NA,FEB,2017,32,1,NA,NA,NA,72,77,NA,10.1109/TPWRD.2016.2537264,NA,NA,NA,NA,NA,NA,NA,WOS:000394539200008,NA,NA,NA,NA,NA
C025,A023,Title,Yes,J,"Goncalves, J; Gutierrez-Aguirre, I; Balasubramanian, MN; Zagorscak, M; Ravnikar, M; Turk, V",NA,NA,NA,"Goncalves, Jose; Gutierrez-Aguirre, Ion; Balasubramanian, Mukundh N.; Zagorscak, Maja; Ravnikar, Maja; Turk, Valentina",NA,Surveillance of human enteric viruses in coastal waters using concentration with methacrylate monolithic supports prior to detection by RT-qPCR,MARINE POLLUTION BULLETIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This is the first surveillance study using methacrylate monolithic supports to concentrate environmental coastal water samples, prior to molecular target detection by RT-qPCR. Rotaviruses (RoV) and Noroviruses (NoV) were monitored in a polluted area at the Bay of Koper (Gulf of Trieste, Northern Adriatic Sea) and at a nearby bathing area and mussel farm areas. RoV and NoV are released into the Bay of Koper, with higher rates close to the discharge of the wastewater treatment plant, however, they can be detected at recreational and mussel farming areas. Our results showed that water bodies considered safe based on FC concentrations, can still have low, yet potentially infective, concentrations of human viruses.",NA,NA,NA,NA,"Goncalves, Jose/0000-0003-2191-527X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0025-326X,1879-3363,NA,NA,NA,MAR,2018,128,NA,NA,NA,NA,307,317,NA,10.1016/j.marpolbul.2018.01.040,NA,NA,NA,NA,NA,NA,NA,WOS:000430645600035,29571377,NA,NA,NA,NA
C026,A024,URL;Title,Yes,J,"Azman, H; Salman, A; Razak, NA; Hussin, S; Hasim, MS; Sidin, SM",NA,NA,NA,"Azman, Hazita; Salman, Ali; Razak, Norizan Abdul; Hussin, Supyan; Hasim, Mohd Safar; Sidin, Samsinar Md.",NA,Determining Critical Success Factors for ICT Readiness in a Digital Economy: A Study from User Perspective,ADVANCED SCIENCE LETTERS,NA,NA,NA,"International Conference on Business, Management, Tourism and Hospitality (BIZMATOUR)","MAY 12-14, 2015","Malacca, MALAYSIA",NA,NA,NA,NA,"Achieving high level of ICT readiness is being increasingly heralded as one of the critical success factors for achieving an inclusive digital economy. The focus for ICT readiness has been on the country or economy. This paper moves away from the traditional ICT readiness indicators and focuses on ICT readiness among individual users by gauging the level of ownership and usage of ICT tools or gadgets and the satisfaction derive from using ICT. A nationwide survey was conducted among 2124 respondents base on the population ratio of the main ethnic groups. Data is analysed using SPPS 20.0 and both descriptive and inferential analysis are carried out. From the results, about two-thirds of the respondents own a laptop computer, while more than two-thirds own a smart phone that can access internet and half own a desktop computer. Meanwhile more than two thirds of the respondents have an email and social media account. The intensity of usage of internet is somehow average among the respondents with information search, email, social communication, entertainment and work related usage as the main usage. The respondents are satisfied using ICT, especially the sophistication of technological gadgets and software, design of ICT tools, quality of digital content on the Internet and speed of the Internet. The results imply that there is an above average level of ICT readiness across the population. More needs to be done by way of awareness campaign and policies aim at increasing the level of ICT readiness among users to facilitate the digital economy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936-6612,1936-7317,NA,NA,NA,MAY,2015,21,5,NA,NA,SI,1367,1369,NA,10.1166/asl.2015.6032,NA,NA,NA,NA,NA,NA,NA,WOS:000365243300070,NA,NA,NA,NA,NA
C027,A025,Title,Yes,B,"Vinida, K; Chacko, M",NA,NA,IEEE,"Vinida, K.; Chacko, Mariamma",NA,An optimized H infinity strategy for robust control of sensorless BLDC propulsion motor in submarines for improved maneuverability,"2016 IEEE INTERNATIONAL CONFERENCE ON POWER ELECTRONICS, DRIVES AND ENERGY SYSTEMS (PEDES)",NA,NA,NA,"IEEE International Conference on Power Electronics, Drives and Energy Systems (PEDES)","DEC 14-17, 2016","Trivandrum, INDIA","IEEE, IEEE Ind Applicat Soc, IEEE Power Elect Soc, IEEE Ind Elect Soc, IEEE Power & Energy Syst Soc",NA,NA,NA,"Brushless direct current motor finds its applications in electric propulsion due to its reliability, reduced electromagnetic interference and improved life cycle cost. Rotor position sensing with sensorless techniques exhibit better performance with varying temperature and humidity conditions as well as continual motion of the vessels and also overthrow the use of hall sensors. A control technique with direct implementation of an optimal H infinity controller in the speed control feedback loop of a sensorless BLDC motor that is insensitive to disturbances and uncertainties is proposed in this paper. This provides a robust dynamic performance compared to conventional PI controller and simulation results of the comparison are presented. For optimum weight selection of H infinity controller, particle swarm optimization technique is employed so that sensitivity function is small for low frequency region and complementary sensitivity function is low for high frequency region which is the trade off required for good reference tracking, disturbance rejection, being insensitive to modeling errors and noise. Results of the case study conducted based on the operational profile of submarine VII C available with British admiralty report have been presented. The reduced torque ripples along with 50% reduction of steady state error results in enhanced maneuverability, low noise and vibration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,978-1-4673-8888-7,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WOS:000406490900063,NA,NA,NA,NA,NA
