"","AID","CID","CitedAs","Locatable","CitationDetail_RG","FulltextAvailable","DOI_RG","AuthorUpload","SourcePubs","SourcePreprint","SourceRepo","SourceWebsite","SourceURl","SourceDOI","ItemClass","Copyrighted","Licensed","HCISI","PT","AU","BA","CA","GP","RI","OI","BE","Z2","TI","X1","Y1","Z1","FT","PN","AE","Z3","SO","S1","SE","BS","VL","IS","SI","MA","BP","EP","AR","DI","D2","SU","PD","PY","AB","X4","Y4","Z4","AK","CT","CY","SP","CL","TC","Z8","ZB","ZS","Z9","SN","BN","UT","PM"
"6049","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6050","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6051","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6052","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6053","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6054","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6055","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6056","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6057","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6058","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6059","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"6060","E060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hinton, G. E.; Srivastava, N.; Krizhevsky, A.; Sutskever, I.; Salakhutdinov, R. R.",NA,NA,NA,NA,NA,NA,NA,"Improving neural networks by preventing co adaptation of feature detectors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","4",NA,NA,"212","223",NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA
"61","E061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hong, Jang; Rani, Han; Song, Shim",NA,NA,NA,NA,NA,NA,NA,"Expanded polystyrene (eps) buoy as a possible source of hexabromocyclododecanes (HBCDs) in the marine environment",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"75",NA,NA,NA,"882","885",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"62","E062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hu, G.; Liu, C.; Liao, Y.; Yang, L; Huang, R.; Wu, J.; Xie, J.; Bundhoo, K.; Liu, Y.; Bin, J.",NA,NA,NA,NA,NA,NA,NA,"Ultrasound molecular imaging of arterial thrombi with novel microbubbles modified by cyclic RGD in vitro and in vivo",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"107",NA,NA,NA,"172","183",NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"63","E063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Iftekhar, S.; Srivastava, V.; Sillanpaa, M.",NA,NA,NA,NA,NA,NA,NA,"Synthesis and application of LDH intercalated cellulose nanocomposite for separation of rare earth elements (REEs)",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"64","E064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Jagannathan, L; Cuddapah, S; Costa, M",NA,NA,NA,NA,NA,NA,NA,"Oxidative stress under ambient and physiological oxygen tension in tissue culture",NA,NA,NA,NA,NA,NA,NA,"ResearchGate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOI 10.1007/S40495-016-0050-5",NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"65","E065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Jaiswal, M; Gandhi, A; Sharma, A; Mittal, SR",NA,NA,NA,NA,NA,NA,NA,"Spectrum of complex non-missile penetrating spinal injury: a series of four cases with review of literature",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"5",NA,NA,NA,"25","34",NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","E066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Jakobek, L.; Seruga, M.; Novak, I.; Medvidovic-Kosanovic, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Research Gate",NA,NA,NA,"103",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"67","E067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Johansson, G; Winroth, M",NA,NA,NA,NA,NA,NA,NA,"Lean vs. Green manufacturing: similarities and differences",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,"16th International Annual EurOMA Conference: Implementation-Realizing Operations Management Knowledge",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"68","E068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Karimov, K. S.; Khalid, F. A.; Chani, M. T. S.; Mateen, A.; Hussain, M. A.; Maqbool, A.",NA,NA,NA,NA,NA,NA,NA,"Carbon nanotubes based flexible temperature sensors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"69","E069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kelly, O. D.; Anane, A.; Bernard, R.; Youssef, J. B.; Hahn, C.; Molpeceres, A.-H.; Carretero, C.; Jacquet, E.; Deranlot, C.; Bortolotti, P.; Lebourgois, R.; Mage, J.-C.; Loubens, G. de; Klein, O.; Cros, V.; Fert, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"70","E070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kharisov, B. I.",NA,NA,NA,NA,NA,NA,NA,"Dispersion of carbon nanotubes in water and non-aqueous solvents",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"71","E071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Khitun, A.; Nikonov, D. E.; Bao, M.; Galatsis, K.; Wang, K. L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"72","E072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kincaid, RL",NA,NA,NA,NA,NA,NA,NA,"Assessment of trace mineral status of ruminants: a review",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,"77","77",NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"73","E073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kleinberg, S. C.; Arroyo, J. E.; Chih, K.; Scherer, S. S.",NA,NA,NA,NA,NA,NA,NA,"Na, K-ATPase isoforms in the PNS: Cell-type specific expression and internodal localization inmyelinated axons",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"74","E074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Koch, D.; Buchan, W.; Cnop, T.; Antwerp, U.",NA,NA,NA,NA,NA,NA,NA,"Proper Pretreatment Systems Reduce Membrane Replacement Element Costs and Improve Reliability",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"75","E075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kolobukhina, LV; Nosik, NN; Merkulova, LN",NA,NA,NA,NA,NA,NA,NA,"Time course of leukocyte interferon induction after single and repeated application of panavir",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"8",NA,NA,NA,"49","52",NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"76","E076",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Kviesis-Kipge, E.; Curkste, E.; Spigulis, J.; Eihvalde, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"7715",NA,NA,NA,"2010","2010",NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","E077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J",NA,NA,NA,NA,NA,NA,NA,NA,"Strukturmodell des Rezeptors",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"78","E078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hong, Jooheon",NA,NA,NA,NA,NA,NA,"이대훈","Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic",NA,NA,"우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과",NA,NA,NA,"한국식품영양과학회지","Journal of the Korean Society of Food Science and Nutrition",NA,NA,NA,"44","5",NA,NA,"673","680",NA,NA,NA,NA,"2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"781","E078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Hong, Jooheon",NA,NA,NA,NA,NA,NA,"이대훈","Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic",NA,NA,"우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과",NA,NA,NA,"한국식품영양과학회지","Journal of the Korean Society of Food Science and Nutrition",NA,NA,NA,"44","5",NA,NA,"673","680",NA,NA,NA,NA,"2015",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"79","E079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Labruto, R.; Leroux, C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A green paper on legal issues in robotics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"80","E080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Li, L; Luo, Y",NA,NA,NA,NA,NA,NA,NA,"Improved Video Moving Target Tracking Based on Camshift",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"3","2",NA,NA,"8","15",NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"81","E081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.",NA,NA,NA,NA,NA,NA,NA,"Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(May) (",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"82","E082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Linden, PF; Turner, JS",NA,NA,NA,NA,NA,NA,NA,"The formation of optimal vortex rings, and the efficiency of propulsion devices",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"427",NA,NA,NA,"61","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"83","E083",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Liste, H.-H.; Felgentreu, D.",NA,NA,NA,NA,NA,NA,NA,"Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"84","E084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.",NA,NA,NA,NA,NA,NA,NA,"Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan.",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"85","E085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Lopez-Lazaro, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pancreatic cancer formation is gradual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"86","E086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Lopez-Lazaro, M",NA,NA,NA,NA,NA,NA,NA,"Understanding cancer: 15 questions and answers",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"87","E087",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Lujan-Tangarife, J. A.; Cardona-Arias, J. A.",NA,NA,NA,NA,NA,NA,NA,"Construction and validation of measurement scales in health: a review of psychometric properties",NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"11",NA,NA,NA,"1","10",NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"88","E088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Margolin, L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ResearchGate",NA,NA,NA,"1",NA,NA,NA,"1","28",NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"89","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"891","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"892","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"893","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"894","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"895","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"896","E089",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J","Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,NA,NA,NA,NA,"Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces",NA,NA,NA,NA,NA,NA,NA,"SURFACE & COATINGS TECHNOLOGY",NA,NA,NA,"201","3-4",NA,NA,"1282","1288",NA,"10.1016/j.surfcoat.2006.01.062",NA,NA,"OCT 5 2006",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
