,AID,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
160,A210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Newman, Mark W.",NA,NA,NA,Now We're Cooking: Recipes for End- User Service Composition in the Digital Home,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
161,A211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.",NA,NA,NA,"Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management",NA,NA,ResearchGate,5,4,NA,NA,NA,NA,August,2015,NA,NA,NA,NA,1
297,A212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nguyen, Vu Dung; Vaghese, Blesson",NA,NA,NA,Royal Birth of 2013: Analysing and Visualising Public Sentiment in the UK using Twitter,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
298,A213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nikolic, D.; Kovacev-Nikolic, V.",NA,NA,NA,Dynamical model of the maltose-binding protein,NA,NA,Research Gate,NA,NA,NA,NA,NA,10.13140/2.1.3269.8883,NA,2013,NA,NA,NA,NA,1
162,A214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nizar, M. A.",NA,NA,NA,THE EFFECT OF TOURISM TO ECONOMIC GROWTH IN INDONESIA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
299,A215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Njuguna, J.; Pielichowski, K.",NA,NA,NA,The role of advanced polymer materials in aerospace,NA,NA,Research Gate,NA,NA,1,48,NA,NA,NA,2013,NA,NA,NA,NA,1
164,A216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L.; Thomas, D. N.",NA,NA,NA,"Long-term storage of riverine dissolved organic carbon, Technical note",NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/2.1.3331.5200,NA,2014,NA,NA,NA,NA,1
163,A217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L; Thomas, DN",NA,NA,NA,Long-term storage of riverine dissolved organic carbon. Technical note,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,10.13140/2.1.3331.5200,NA,2014,NA,NA,NA,NA,1
165,A218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nzihou, Ange; Stanmore, B. R.",NA,NA,NA,The Formation of Aerosols During the Co-combustion of Coal and Biomass,NA,NA,WASTE AND BIOMASS VALORIZATION,6,6,947,957,NA,10.1007/s12649-015-9390-3,15-Dec,2015,NA,NA,NA,NA,2
168,A219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"O'Reilly-Shah, V; Mackey, S",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
166,A220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Oetzel, M.; Heger, G.; Koslowski, T.",NA,NA,NA,Einfluss von Umgebungsfeuchte and Temperatur auf die Phasenumwandlungen im System CaSO<INF>4</INF>-H20,NA,NA,ResearchGate,53,NA,254,361,NA,NA,NA,2000,NA,NA,NA,NA,1
300,A221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Oktug, Sema F.",NA,NA,NA,Localization Techniques for Underwater Acoustic Sensor Networks,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
301,A222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Oliveira, LS; Franca, AS",NA,NA,NA,An overview of the potential uses for coffee husks,NA,NA,Coffee in health and disease prevention,31,NA,283,291,NA,NA,NA,2015,NA,NA,NA,NA,3
167,A223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Omboni, S.; Isasti, G.",NA,NA,NA,How to Measure Interbeat Interval in Human Patients,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,"Jan. 18,",2013,NA,NA,NA,NA,1
169,A224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Palatsi, J; Campos-Pozuelo, E; Torres, M; Porras, S; Flotats, X.",NA,NA,NA,"Full-scale combination of anaerobic digestion and concentration by evaporation in Garrigues (Lleida, Spain): Evaluation after 2 years of operation",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,1
170,A225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Patel, D. B.; Chauhan, K. R.; Mukhopadhyay, I.",NA,NA,NA,"Effect of Electrode's geometric shape, thickness and porosity on the performance of dye sensitized solar cell, III",NA,NA,ResearchGate,NA,NA,8,19,NA,NA,NA,2014,NA,NA,NA,NA,1
171,A226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Payne, H. J.",NA,NA,NA,Models of Freeway Traffic and Control,NA,NA,Research Gate,28,NA,51,61,NA,NA,Jan.,1971,NA,NA,NA,NA,1
303,A227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Pendrel, J.; Debeye, H.; Pedersen-Tatalovic, R.; Goodway, B.; Dufour, J.; Bogaards, M",NA,NA,NA,Estimation and interpretation of P and S impedance volumes from simultaneous inversion of,NA,NA,Research Gate.,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,1
172,A228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Perera, A. S.; Perrizo, W.",NA,NA,NA,Gene Function Prediction,NA,NA,ResearchGate,NA,NA,26,31,NA,NA,NA,2009,NA,NA,NA,NA,1
304,A229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Perez, L; Bequer, L; Gomez, T; Gonzalez, O; Heredia, D; Molina, O",NA,NA,NA,"Actividad de la gamma glutamil transferasa serica: distribucion estadistica, variaciones segun edad y sexo e intervalos de referencia en villa clara",NA,NA,Research-Gate,3,NA,122,143,NA,NA,NA,2013,NA,NA,NA,NA,1
173,A230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Petch, N.J.",NA,NA,NA,The cleavage strength of polycrystals,NA,NA,ResearchGate,173,NA,25,28,NA,NA,NA,1953,NA,NA,NA,NA,1
174,A231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Petersen, B.; Gernaey, K.; Henze, M.; Vanrolleghem, P.A",NA,NA,NA,Evaluation of an ASM 1 model calibration procedure on a municipal-industrial wastewater treatment plant,NA,NA,ResearchGate,4,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,1
305,A232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Pokrovsky, O. S.",NA,NA,NA,Full data set of major and trace element concentration in snow water (0.45 &mu;m) and snow parcticles sampled across the latitudinal profile of Western Siberia Lowland,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
8,A233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Polovodova Asteman, I. R.; Schonfeld, J.",NA,NA,NA,"Recent invasion of the foraminifer Nonionella stella Cushman & Moyer, 1930 in northern European waters: evidence from the Skagerrak and its Fjords",NA,NA,ResearchGate,35,1,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
175,A234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Popova, NA; Sheka, EF",NA,NA,NA,Mechanochemical reaction in graphane under uniaxial tension,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
306,A235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Porwik, Piotr; Lisowska, Agnieszka",NA,NA,NA,The Haar-wavelet transform in digital image processing: its status and achievements,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
176,A236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Prahallad, Kishore; Sangal, Rajeev",NA,NA,NA,A Data-Driven Synthesis Approach for Indian Languages using Syllable as aBasic Unit,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,January,2002,NA,NA,NA,NA,1
177,A237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Prahl, S.",NA,NA,NA,Optical property measurements using the inverse adding- doubling program,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,March,1995,NA,NA,NA,NA,1
307,A238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Pramono, YH; Geshiro, M; Kitamura, T; Sawa, S",NA,NA,NA,Optical logic OR-AND-NOT and NOR gates in waveguides consisting of nonlinear material,NA,NA,IEICE TRANSACTIONS ON ELECTRONICS,E83C,11,1755,1762,NA,NA,Nov-00,2000,NA,NA,NA,NA,19
308,A239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Prathapan, K. D.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,10.13140/RG.2.1.2150.5761,June,2015,NA,NA,NA,NA,1
178,A240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Pribyl, J.; Krejcova, H.; Pribylova, J.; Misztal, I.; Bohmanova, J",NA,NA,NA,Trajectory of body weight of performance tested dual-purpose bulls.,NA,NA,ResearchGate,52,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,1
179,A241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Qi, F; Shi, X-T; Liu, F-F; Yang, Z-H",NA,NA,NA,A double inequality for an integral mean in terms of the exponential and logarithmic means,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.2353.6800,NA,2015,NA,NA,NA,NA,1
180,A242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rabin, M.O.; Thorpe, C.",NA,NA,NA,Time-laspe cryptography,NA,NA,ResearchGate,NA,NA,1,16,NA,NA,NA,2007,NA,NA,NA,NA,1
181,A243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Racuciu, M",NA,NA,NA,NA,NA,NA,Researchgate,2015,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
309,A244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Radwan, H.; Abdel-Rahim, O.; Ahmed, M.",NA,NA,NA,Two Stages Maximum Power Point Tracking Algorithm for PV Systems Operating under Partially Shaded Conditions,NA,NA,research gate,10,NA,683,688,NA,NA,NA,2009,NA,NA,NA,NA,1
182,A245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rao, J. G.; Zhang, Y. S.; Fokas, A. S.; He, J. S.",NA,NA,NA,Rogue waves of the nonlocal Davey-Stewartson I equation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
310,A246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Reyes, Rogelio; Cruz, Clara; Nakano, Mariko; Perez, Hector",NA,NA,NA,Video Watermarking Algorithm Resilient to MPEG-2 Compression and Collusion Attacks,NA,NA,Research Gate,NA,NA,1857,1870,NA,NA,January,2008,NA,NA,NA,NA,1
188,A247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ribeiro, M J; Labrincha, J A; Ferreira, J",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,1,19,NA,NA,NA,2003,NA,NA,NA,NA,1
189,A248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rico, A.; Ruchkin, I.; Schmerl, B.; Garlan, D.",NA,NA,NA,Hardware Power Modeling for Turtlebot,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jul.,2016,NA,NA,NA,NA,1
190,A249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",NA,NA,NA,MICROMORPH&TRADE; Technology: Introduction and the Path to Record Efficiencies,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
191,A250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T.",NA,NA,NA,MICROMORPHrm Technology: introduction and the path to record efficiencies,NA,NA,ResearchGate,NA,NA,NA,NA,NA,10.13140/RG.2.1.1628.8804,NA,2015,NA,NA,NA,NA,1
311,A251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Roschek, T; Apolloni, M; Braga, A; Brunner, A; Caglar, O; Cashmore, JS; Cervetto, V; Fenner, Y; Gaucker, J; Hotzel, JE; Janot, R; Kalas, J; Keller, K; Krull, S; Kugler, E; Leu, G-F; Lindic, M-H; Losio, PA; Mates, T; Mereu, B; Psimoulis, I; Roth, F; Ristau, S; Salabas, A; Salabas, EL; Sinicco, I",NA,NA,NA,MICROMORPH<SUP>&TRADE;</SUP>Technology: introduction and the path to record efficiencies,NA,NA,Research Gate,NA,NA,NA,NA,NA,10.13140/RG.2.1.1628.8804,NA,2015,NA,NA,NA,NA,1
192,A252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Rossello-Busquet, Ana; Soler, Jose",NA,NA,NA,Towards Efficient Energy Management: Defining HEMS and Smart Grid Objectives,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
312,A253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Santos, FC; Brojo, F; Vilarinho, PM",NA,NA,NA,Lot sizing and scheduling in parallel uniform machines-a case study,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,1
313,A254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Schallert, T; Woodlee, MT; Fleming, SM",NA,NA,NA,Disentangling multiple types of recovery from brain injury,NA,NA,Research Gate,NA,NA,201,216,NA,NA,NA,2000,NA,NA,NA,NA,1
193,A255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Schindel, W.",NA,NA,NA,What is the Smallest Model of a System?,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
314,A256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Schmidt, M.; Aschwanden, J.; Liechti, F.; Nemeth, E.; Probst, R.; Rossler, M.; Schauer, C.; Denner, M.; Wichmann, G.",NA,NA,NA,V.i.A - Vogelzug im Alpenraum,NA,NA,Research Gate,NA,NA,NA,NA,NA,DOI 10.13140/RG.2.2.19922.96963,NA,2016,NA,NA,NA,NA,1
315,A257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Schwarz, I G; Kovacevic, S; Kos, I.",NA,NA,NA,Physical-mechanical properties of automotive textile materials,NA,NA,Research Gate,NA,NA,11,11,NA,NA,NA,2015,NA,NA,NA,NA,1
194,A258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Scrucca, L.; Fop, M.; Murphy, T. B.; Raftery, A. E.",NA,NA,NA,"mclust 5: Clustering, Classification and Density Estimation Using Gaussian Finite Mixture Models",NA,NA,ResearchGate,8,1,204,233,NA,NA,NA,2016,NA,NA,NA,NA,1
196,A259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Serio, R.; Billack, B.",NA,NA,NA,Potential Tumor Biomarkers for Ovarian Cancer,NA,NA,Researchgate. Net,125,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA,1
197,A260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Akdemir, AO; Celik, B",NA,NA,NA,On generalization of Fejer type inequalities via fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
198,A261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Celik, B",NA,NA,NA,On generalization related to the left side of Fejer's inequalites via fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
199,A262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Set, E; Choi, J; Celik, B",NA,NA,NA,A new approach to generalized of Hermite-Hadamard inequality using fractional integral operator,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
200,A263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shabila, N",NA,NA,NA,Assessment of the Iraqi primary care referral system: reporting a high self-requested referral rate,NA,NA,ResearchGate.,10,3,4,10,NA,NA,NA,2012,NA,NA,NA,NA,1
201,A264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shackleford, JA; Shusharina, N; Verberg, J",NA,NA,NA,Plastimatch 1. 6-current capabilities and future directions,NA,NA,ResearchGate,NA,NA,108,119,NA,NA,NA,2012,NA,NA,NA,NA,1
316,A265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shafique, N. A.; Fulk, F.; Autrey, B. C.; Flotemersch, J.",NA,NA,NA,Hyperspectral remote sensing of water quality parameters for large rivers in the Ohio River basin,NA,NA,Research Gate.,NA,NA,216,221,NA,NA,NA,2003,NA,NA,NA,NA,5
202,A266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shalashvili, A.; Ugrekhelidze, D.; Mitaishvili, T.; Targamadze, I.; Zambakhidze, N.",NA,NA,NA,"Phenolic compounds of wines from georgian autochthonous grapes, rkatsiteli and saperavi, prepared by georgian (kakhetian) technology",NA,NA,ResearchGate,6,NA,99,103,NA,NA,NA,2012,NA,NA,NA,NA,2
203,A267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sharbrough, FW; Chatrian, GE; Lesser, RP; Luders, H; Nuwer, M; Picton, TW",NA,NA,NA,Guideline thirteen: Guidelines for standard electrode position nomenclature American Electroencephalographic Society J Clin Neurophysiol 1994 11 111 113 8195414,NA,NA,ResearchGate,8,NA,200,202,NA,NA,NA,1991,NA,NA,NA,NA,1
204,A268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Shen, L.Y.X.W.Y.Y. Chao",NA,NA,NA,An experimental and numerical study of defouling evaporator used in a wastewater source heat pump,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
318,A269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Simitsis, A.; Vassiliadis, P.",NA,NA,NA,A methodology for the conceptual modeling of etl processes,NA,NA,research gate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
205,A270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Singh, V. P.; Chowdhury, P. K",NA,NA,NA,On Fitting Gamma Distrubution to Synthetic Runoff Hydrographs,NA,NA,Research Gate,l6,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,1
320,A271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sirjani, Reza; Mohamed, Azah; Shareef, Hussain",NA,NA,NA,Heuristic Optimization Techniques to Determine Optimal Capacitor Placement and Sizing in Radial Distribution Networks: A Comprehensive Review,NA,NA,PRZEGLAD ELEKTROTECHNICZNY,88,7A,1,7,NA,NA,2012,2012,NA,NA,NA,NA,15
321,A272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stark, G.",NA,NA,NA,Three Killer Graphics,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
206,A273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Steeg, T.",NA,NA,NA,Systems thinking and practice: a review and analysis of key ideas and their implications for practice in design & technology education,NA,NA,ResearchGate,NA,NA,203,214,NA,NA,NA,2000,NA,NA,NA,NA,1
322,A274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Steenbruggen, J.; Borzacchiello, M.T.; Nijkamp, P.; Scholten, H",NA,NA,NA,Real-Time Data from Mobile Phone Networks for Urban Incidence and Traffic Management-A Review of Applications and Opportunities,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
207,A275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stensrud, B. S.; Barrett, G. C.; Lisetti, C. L.; Gonzalez, A.",NA,NA,NA,Modeling affect in context based reasoning,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
208,A276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stephant, N.",NA,NA,NA,In: Why during SEM-EDX We Cannot Detect Nitrogen However on the Element Map Nitrogen Is Detected what Reason Could Someone Explain,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
323,A277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Stone, C. P.; Omnes, P.; Rezende, R. V. P.; Grimm-Strele, H; Bensow, R. E.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
209,A278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Straatman, J; van der Peet, DL",NA,NA,NA,C- reactive protein after major ab- dominal surgery: biochemical and clinical aspects,NA,NA,ResearchGate [Internet],NA,NA,2,2,NA,NA,NA,2015,NA,NA,NA,NA,1
210,A279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sukassini, M.; Velmurugan, T.",NA,NA,NA,Nois removal using Morphology and Median filter Methods in Mammogram Images,NA,NA,ResearchGate,NA,NA,413,419,NA,NA,NA,2016,NA,NA,NA,NA,1
211,A280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sulthan, S. M.",NA,NA,NA,Fuzzy based Maximum Power Point Tracking Controller for Stand alone Photovoltaic system using MATLAB/Simulink,NA,NA,ResearchGate,10,55,NA,NA,NA,NA,May,2015,NA,NA,NA,NA,1
324,A281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Sun, W.",NA,NA,NA,computer aided Lung Cancer Diagnosis with Deep Learning Algorithms,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
212,A282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Takacs, Barnabas; Hanak, David",NA,NA,NA,A mobile system for assisted living with ambient facial interfaces,NA,NA,ResearchGate,2,NA,33,50,NA,NA,NA,2006,NA,NA,NA,NA,1
213,A283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Takamura, K.; Ueda, Y.; Irie, U.; Yamaguchi, Y.",NA,NA,NA,Immunohistology with antibodies specific to test cells in the ascidian Ciona intestinalis suggests their role in larval tunic formation,NA,NA,ResearchGate.,13,NA,241,251,NA,NA,NA,2009,NA,NA,NA,NA,1
215,A284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,Tan Yue; Gao Dong-sheng; Li Ling; Wet Hai-rong; Wang Jia-wei; Liu Qing-zhong,NA,NA,NA,Relationships between H2O2 metabolism and Ca2+ transport in dormancy-breaking process of nectarine floral buds.,NA,NA,Yingyong Shengtai Xuebao,26,2,425,429,1001-9332(2015)26:2<425:YTHYPM>2.0.TX;2-R,NA,15-Feb,2015,NA,NA,NA,NA,1
214,A285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tan, W.; Hunley, P.; St Omer, I.",NA,NA,NA,Properties of silicon carbide nanotubes formed via reaction of SiO2 powder with SWCNTs and MWCNTs,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,DOI 10.1109/SECON.2009.5174082,NA,2009,NA,NA,NA,NA,1
216,A286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Tawatwachoom, T.; Khottoom, N.; Wairuangsiripon, S.; Rungrojchaipon, P.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,1,1,NA,DOI 10.13140/RG.2.1.2669.5847,NA,2015,NA,NA,NA,NA,1
217,A287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Terenin, Alexander; Draper, David",NA,NA,NA,Rigorizing and Extending the Cox-Jaynes Derivation of Probability: Implications for Statistical Practice,NA,NA,ResearchGate.net,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
219,A288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",NA,NA,NA,The Geometry of Polychronous Wavefront Computation,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
220,A289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Thomas, J.",NA,NA,NA,A Mathematical Treatise on Polychronous Wavefront Computation and its Application into Modeling Neurosensory Systems,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,2
221,A290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ticinesi, A.; Lauretani, F.; Nouvenne, A.; Porro, E.; Fanelli, G.; Maggio, M.; Meschi, T.",NA,NA,NA,C-Reactive Protein (CRP) Measurement in Geriatric Patients Hospitalized for Acute Infection,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
222,A291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Torres, J.",NA,NA,NA,Identity Management Requirements in Future Internet,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Nov.,2012,NA,NA,NA,NA,1
