,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
121,P121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kumar, G.; Brar, S.; Kumar, R.; Kumar, A.",NA,NA,NA,A review: DWT-DCT technique and arithmetic-Huffman coding based image compression,NA,NA,ResearchGate,NA,NA,1,14,NA,NA,NA,2015,NA,NA,NA,NA,1
122,P122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Kviesis-Kipge, E.; Curkste, E.; Spigulis, J.; Eihvalde, L.",NA,NA,NA,NA,NA,NA,ResearchGate,7715,NA,2010,2010,NA,NA,NA,2010,NA,NA,NA,NA,1
123,P123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,NA,NA,NA,Strukturmodell des Rezeptors,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
124,P124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lampel, J.; Mintzberg, H.",NA,NA,NA,Customizing Customization,NA,NA,ResearchGate,NA,NA,21,30,NA,NA,NA,1996,NA,NA,NA,NA,1
125,P125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lee, D.; Mani, M.; Chu, W. W.",NA,NA,NA,Solving Schema Conversion Problem between XML and Relational Models: Semantic Approach,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,/7,2003,NA,NA,NA,NA,1
126,P126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jooheon",NA,NA,이대훈,Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic,우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과,한국식품영양과학회지,Journal of the Korean Society of Food Science and Nutrition,44,5,673,680,NA,NA,2015,2015,NA,NA,NA,NA,2
1261,P126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Hong, Jooheon",NA,NA,이대훈,Immune-Enhancing Effects of Polysaccharides Isolated from Ascidian (Halocynthia roretzi) Tunic,우렁쉥이(Halocynthia roretzi) 껍질로부터 분리된 다당류의 면역증강 효과,한국식품영양과학회지,Journal of the Korean Society of Food Science and Nutrition,44,5,673,680,NA,NA,2015,2015,NA,NA,NA,NA,2
127,P127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lee, S.; Nam, K.; Kim, K.",NA,NA,NA,NA,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,1
128,P128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Labruto, R.; Leroux, C",NA,NA,NA,NA,NA,NA,A green paper on legal issues in robotics,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
129,P129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Li, G. W. Jia",NA,NA,NA,NA,NA,NA,ResearchGate,NA,NA,4781,4781,NA,NA,NA,2007,NA,NA,NA,NA,1
130,P130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Li, L; Luo, Y",NA,NA,NA,Improved Video Moving Target Tracking Based on Camshift,NA,NA,ResearchGate,3,2,8,15,NA,NA,NA,2016,NA,NA,NA,NA,1
131,P131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lim, S.-J.; Jeong, Y.-Y.; Lee, C.-W.; Ho, Y.-S.",NA,NA,NA,Automatic segmentation of the liver in CT images using the watershed algorithm based on morphological filtering,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,(May) (,2004,NA,NA,NA,NA,1
132,P132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,LIN H,NA,NA,NA,NA,NA,NA,RESEARCHGATE,6,NA,270,NA,NA,DOI 10.1177/1555412010364981,NA,2011,NA,NA,NA,NA,1
133,P133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Linden, PF; Turner, JS",NA,NA,NA,"The formation of optimal vortex rings, and the efficiency of propulsion devices",NA,NA,ResearchGate,427,NA,61,72,NA,NA,NA,NA,NA,NA,NA,NA,1
134,P134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liste, H.-H.; Felgentreu, D.",NA,NA,NA,"Crop growth, culturable bacteria, and degradation of petrol hydrocarbons (PHCs) in a long-term contaminated field soil",NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
135,P135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liu, B.; Wildman, R.; Tuck, C.; Ashcroft, I.; Hague, R.",NA,NA,NA,Investigaztion the effect of particle size distribution on processing parameters optimisation in selective laser melting process,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2011,NA,NA,NA,NA,1
136,P136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Liwicki, M.; Graves, A.; Bunke, H.",NA,NA,NA,A novel approach to online handwriting recognition based on bidirectional long shortterm memory networks,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,1
137,P137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M.",NA,NA,NA,NA,NA,NA,Pancreatic cancer formation is gradual,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
138,P138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lopez-Lazaro, M",NA,NA,NA,Understanding cancer: 15 questions and answers,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
139,P139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Lujan-Tangarife, J. A.; Cardona-Arias, J. A.",NA,NA,NA,Construction and validation of measurement scales in health: a review of psychometric properties,NA,NA,ResearchGate,11,NA,1,10,NA,NA,NA,2015,NA,NA,NA,NA,1
140,P140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Margolin, L.",NA,NA,NA,NA,NA,NA,ResearchGate,1,NA,1,28,NA,NA,NA,2013,NA,NA,NA,NA,1
141,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1411,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1412,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1413,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1414,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1415,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1416,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1417,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1418,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
1419,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
14110,P141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Markovic, Goran; Mutschler, Tina; Woellner, Karin; Gauglitz, Guenter",NA,NA,NA,Application of surface acoustic waves for optimisation of biocompatibility of carboxymethylated dextran surfaces,NA,NA,SURFACE & COATINGS TECHNOLOGY,201,4-Mar,1282,1288,NA,10.1016/j.surfcoat.2006.01.062,OCT 5 2006,2006,NA,NA,NA,NA,11
142,P142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Marquardt, W.",NA,NA,NA,NA,NA,NA,Traveling Waves in Chemical Processes,30,4,585,606,NA,NA,NA,1990,NA,NA,NA,NA,1
143,P143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Martinez, F.; Juanatey, B.",NA,NA,NA,The challenge of the strategy in its adaptation to the emerging phenomenon of Netcomunicacion,NA,NA,ResearchGate,NA,14,37,55,NA,NA,NA,2010,NA,NA,NA,NA,1
144,P144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mateljevic, M.",NA,NA,NA,Note on rigidty of holomorphic mappings & Schwarz and Jack lemma,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2015,NA,NA,NA,NA,1
145,P145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mathers, C.; Loncar, D",NA,NA,NA,Projections of Global Mortality and Burden of Disease from 2002 to 2030,NA,NA,ResearchGate,31,110,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
146,P146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Matveev, V",NA,NA,NA,What is your opinion on this paper?,NA,NA,Researchgate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
147,P147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mayalarp, V.; Limpaswadpaisarn, N.; Poombansao, T.; Kittipiyakul, S.",NA,NA,NA,Wireless mesh networking with xbee,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,10,2014,NA,NA,NA,NA,1
148,P148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"McRobie, A",NA,NA,NA,NA,NA,NA,Rankine reciprocals with zero bars,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,3
1481,P148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"McRobie, A",NA,NA,NA,NA,NA,NA,Rankine reciprocals with zero bars,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,3
1482,P148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"McRobie, A",NA,NA,NA,NA,NA,NA,Rankine reciprocals with zero bars,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,3
149,P149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mehryar, N.; Ron, W.; Tek, M. N.",NA,NA,NA,The Use of Virtual Reality in Education,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,September,2004,NA,NA,NA,NA,1
150,P150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Meier, ML",NA,NA,NA,Using X-ray diffraction to measure changes in unit cell dimensions due to alloying,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,2
1501,P150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Meier, ML",NA,NA,NA,Using X-ray diffraction to measure changes in unit cell dimensions due to alloying,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,2
151,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1511,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1512,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1513,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1514,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1515,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1516,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1517,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
1518,P151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Metz, M.; Staubach, P.; Bauer, A.; Brehler, R.; Gericke, J.; Ashton-Chess, J.; Jarvis, P.; Canvin, J.; Erpenbeck, V. J.; Maurer, M.",NA,NA,NA,"Omalizumab normalizes levels of high affinity immunoglobulin E receptor-positive skin cells in patients with chronic spontaneous urticaria: a randomized, double-blind, placebo-controlled study",NA,NA,JOURNAL OF INVESTIGATIVE DERMATOLOGY,134,NA,S30,S30,NA,NA,Sep-14,2014,44th Annual Meeting of the European-Society-for-Dermatological-Research (ESDR),"SEP 10-13, 2014",European Soc Dermatol Res,"Copenhagen, DENMARK",9
152,P152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Michael, M. M.; Scott, M. L.",NA,NA,NA,Correction of a Memory Manage-ment Method for Lock-Free Data Structures,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Mar.,1996,NA,NA,NA,NA,1
153,P153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Milligan, M.",NA,NA,NA,Operating Reserves and Wind Power Integration: An International Comparison; Preprint,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan,2010,NA,NA,NA,NA,1
154,P154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Mishra, R. K.",NA,NA,NA,"Soil pollution: Causes, effects and control",NA,NA,ResearchGate,3,1,NA,NA,NA,NA,January,2016,NA,NA,NA,NA,1
155,P155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Moffat, A. F. J.",NA,NA,NA,A Theoretical Investigation of Focal Stellar Images in the Photographic Emulsion and Application to Photographic Photometry,NA,NA,ResearchGate,3,NA,455,455,NA,NA,NA,1969,NA,NA,NA,NA,1
156,P156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Muazzam, A.; Siddiqui, E.-S.; Mostafa, A. Saleh; Bagais",NA,NA,NA,Extraction and Visualization of the Chain of Narrators from Hadiths using Named Entity Recognition and Classification,NA,NA,ResearchGate,5,1,NA,NA,NA,NA,Apr.,2014,NA,NA,NA,NA,1
157,P157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Na, K; Chaves, A; Pellegrino, JP",NA,NA,NA,A simple device for quantitative stool thick-smear technique in Schistomiasis mansoni,NA,NA,ResearchGate,14,NA,397,400,NA,NA,NA,1971,NA,NA,NA,NA,1
158,P158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Namiki, M.; Ueda, M.; Todoroki, A.; Hirano, Y.; Matsuzaki, R.",NA,NA,NA,3D printing of continuous fiber reinforced plastic,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2014,NA,NA,NA,NA,1
159,P159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Naranjo-Madrigal, H.",NA,NA,NA,Bajos Pesqueros en el Pacifico Norte de Costa Rica: Importancia ecologi-ca e implicaciones socio-economicas y de manejo,NA,NA,Researchgate. net.,NA,NA,NA,NA,NA,10.13140/RG.2.1.4326.2965,NA,2016,NA,NA,NA,NA,1
160,P160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Newman, Mark W.",NA,NA,NA,Now We're Cooking: Recipes for End- User Service Composition in the Digital Home,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
161,P161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ng, K.H.; Faust, O.; Sudarshan, V.; Chattopadhyay, S.",NA,NA,NA,"Data overloading in medical imaging: emerging issues, challenges and opportunities in efficient data management",NA,NA,ResearchGate,5,4,NA,NA,NA,NA,August,2015,NA,NA,NA,NA,1
162,P162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nizar, M. A.",NA,NA,NA,THE EFFECT OF TOURISM TO ECONOMIC GROWTH IN INDONESIA,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
163,P163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L; Thomas, DN",NA,NA,NA,Long-term storage of riverine dissolved organic carbon. Technical note,NA,NA,ResearchGate.,NA,NA,NA,NA,NA,10.13140/2.1.3331.5200,NA,2014,NA,NA,NA,NA,1
164,P164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Norman, L.; Thomas, D. N.",NA,NA,NA,"Long-term storage of riverine dissolved organic carbon, Technical note",NA,NA,Researchgate,NA,NA,NA,NA,NA,10.13140/2.1.3331.5200,NA,2014,NA,NA,NA,NA,1
165,P165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Nzihou, Ange; Stanmore, B. R.",NA,NA,NA,The Formation of Aerosols During the Co-combustion of Coal and Biomass,NA,NA,WASTE AND BIOMASS VALORIZATION,6,6,947,957,NA,10.1007/s12649-015-9390-3,Dec-15,2015,NA,NA,NA,NA,2
